filePath;Package Name;Class Name;TLOC;TASSERT;TCM;Seuil dépassé?
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\annotations\XYTitleAnnotationTest.java;org.jfree.chart.annotations;XYTitleAnnotationTest;142;14;10,14;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\AreaChartTest.java;org.jfree.chart;AreaChartTest;165;10;16,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryLabelPositionsTest.java;org.jfree.chart.axis;CategoryLabelPositionsTest;161;12;13,42;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\CategoryLabelWidthTypeTest.java;org.jfree.chart.axis;CategoryLabelWidthTypeTest;76;6;12,67;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\DateTickUnitTest.java;org.jfree.chart.axis;DateTickUnitTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java;org.jfree.chart.axis;LogarithmicAxisTest;196;15;13,07;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\NumberTickUnitTest.java;org.jfree.chart.axis;NumberTickUnitTest;91;9;10,11;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java;org.jfree.chart.axis;StandardTickUnitSourceTest;63;4;15,75;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\axis\TickUnitsTest.java;org.jfree.chart.axis;TickUnitsTest;80;6;13,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\BarChartTest.java;org.jfree.chart;BarChartTest;162;6;27,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\block\BlockBorderTest.java;org.jfree.chart.block;BlockBorderTest;91;8;11,38;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\entity\CategoryItemEntityTest.java;org.jfree.chart.entity;CategoryItemEntityTest;111;11;10,09;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\entity\StandardEntityCollectionTest.java;org.jfree.chart.entity;StandardEntityCollectionTest;99;9;11,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\GanttChartTest.java;org.jfree.chart;GanttChartTest;263;4;65,75;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;DynamicDriveToolTipTagFragmentGeneratorTest;61;3;20,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;OverLIBToolTipTagFragmentGeneratorTest;61;3;20,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\imagemap\StandardToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;StandardToolTipTagFragmentGeneratorTest;59;3;19,67;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\imagemap\StandardURLTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;StandardURLTagFragmentGeneratorTest;60;4;15,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\internal\ArgsTest.java;org.jfree.chart.internal;ArgsTest;54;3;18,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\internal\CloneUtilsTest.java;org.jfree.chart.internal;CloneUtilsTest;78;5;15,60;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\internal\HashUtilsTest.java;org.jfree.chart.internal;HashUtilsTest;57;2;28,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\internal\SerialUtilsTest.java;org.jfree.chart.internal;SerialUtilsTest;110;5;22,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\labels\CustomXYItemLabelGeneratorTest.java;org.jfree.chart.labels;CustomXYItemLabelGeneratorTest;87;5;17,40;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\labels\ItemLabelAnchorTest.java;org.jfree.chart.labels;ItemLabelAnchorTest;61;3;20,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\labels\ItemLabelPositionTest.java;org.jfree.chart.labels;ItemLabelPositionTest;67;3;22,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\labels\StandardCategorySeriesLabelGeneratorTest.java;org.jfree.chart.labels;StandardCategorySeriesLabelGeneratorTest;121;12;10,08;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\labels\StandardFlowLabelGeneratorTest.java;org.jfree.chart.labels;StandardFlowLabelGeneratorTest;64;5;12,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\labels\SymbolicXYItemLabelGeneratorTest.java;org.jfree.chart.labels;SymbolicXYItemLabelGeneratorTest;96;9;10,67;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\LegendItemCollectionTest.java;org.jfree.chart;LegendItemCollectionTest;109;9;12,11;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\LineChartTest.java;org.jfree.chart;LineChartTest;159;8;19,88;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\PieChartTest.java;org.jfree.chart;PieChartTest;102;2;51,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedDomainCategoryPlotTest.java;org.jfree.chart.plot;CombinedDomainCategoryPlotTest;235;9;26,11;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java;org.jfree.chart.plot;CombinedDomainXYPlotTest;241;10;24,10;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedRangeCategoryPlotTest.java;org.jfree.chart.plot;CombinedRangeCategoryPlotTest;235;8;29,38;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedRangeXYPlotTest.java;org.jfree.chart.plot;CombinedRangeXYPlotTest;233;9;25,89;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\LineNeedleTest.java;org.jfree.chart.plot.compass;LineNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\LongNeedleTest.java;org.jfree.chart.plot.compass;LongNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\MiddlePinNeedleTest.java;org.jfree.chart.plot.compass;MiddlePinNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\PinNeedleTest.java;org.jfree.chart.plot.compass;PinNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\PlumNeedleTest.java;org.jfree.chart.plot.compass;PlumNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\PointerNeedleTest.java;org.jfree.chart.plot.compass;PointerNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\ShipNeedleTest.java;org.jfree.chart.plot.compass;ShipNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\compass\WindNeedleTest.java;org.jfree.chart.plot.compass;WindNeedleTest;75;6;12,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\MeterIntervalTest.java;org.jfree.chart.plot;MeterIntervalTest;90;6;15,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\plot\PlotOrientationTest.java;org.jfree.chart.plot;PlotOrientationTest;67;6;11,17;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\AreaRendererTest.java;org.jfree.chart.renderer.category;AreaRendererTest;138;13;10,62;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\BoxAndWhiskerRendererTest.java;org.jfree.chart.renderer.category;BoxAndWhiskerRendererTest;494;39;12,67;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\CategoryStepRendererTest.java;org.jfree.chart.renderer.category;CategoryStepRendererTest;119;11;10,82;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\DefaultCategoryItemRendererTest.java;org.jfree.chart.renderer.category;DefaultCategoryItemRendererTest;97;8;12,13;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\IntervalBarRendererTest.java;org.jfree.chart.renderer.category;IntervalBarRendererTest;152;15;10,13;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\LayeredBarRendererTest.java;org.jfree.chart.renderer.category;LayeredBarRendererTest;135;13;10,38;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\StatisticalBarRendererTest.java;org.jfree.chart.renderer.category;StatisticalBarRendererTest;256;25;10,24;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\StackedXYAreaRendererTest.java;org.jfree.chart.renderer.xy;StackedXYAreaRendererTest;201;17;11,82;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\WindItemRendererTest.java;org.jfree.chart.renderer.xy;WindItemRendererTest;94;8;11,75;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYAreaRenderer2Test.java;org.jfree.chart.renderer.xy;XYAreaRenderer2Test;178;17;10,47;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYBubbleRendererTest.java;org.jfree.chart.renderer.xy;XYBubbleRendererTest;147;13;11,31;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYStepRendererTest.java;org.jfree.chart.renderer.xy;XYStepRendererTest;173;14;12,36;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\ScatterPlotTest.java;org.jfree.chart;ScatterPlotTest;150;5;30,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\StackedAreaChartTest.java;org.jfree.chart;StackedAreaChartTest;159;6;26,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\StackedBarChartTest.java;org.jfree.chart;StackedBarChartTest;161;6;26,83;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\swing\ChartPanelTest.java;org.jfree.chart.swing;ChartPanelTest;326;23;14,17;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\swing\CrosshairOverlayTest.java;org.jfree.chart.swing;CrosshairOverlayTest;87;6;14,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\TimeSeriesChartTest.java;org.jfree.chart;TimeSeriesChartTest;150;5;30,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\urls\CustomPieURLGeneratorTest.java;org.jfree.chart.urls;CustomPieURLGeneratorTest;102;9;11,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\urls\StandardXYURLGeneratorTest.java;org.jfree.chart.urls;StandardXYURLGeneratorTest;64;4;16,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\WaterfallChartTest.java;org.jfree.chart;WaterfallChartTest;124;3;41,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYAreaChartTest.java;org.jfree.chart;XYAreaChartTest;149;5;29,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYBarChartTest.java;org.jfree.chart;XYBarChartTest;153;5;30,60;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYLineChartTest.java;org.jfree.chart;XYLineChartTest;150;5;30,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYStepAreaChartTest.java;org.jfree.chart;XYStepAreaChartTest;149;5;29,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYStepChartTest.java;org.jfree.chart;XYStepChartTest;159;5;31,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\function\NormalDistributionFunction2DTest.java;org.jfree.data.function;NormalDistributionFunction2DTest;93;9;10,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\function\PolynomialFunction2DTest.java;org.jfree.data.function;PolynomialFunction2DTest;120;10;12,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\function\PowerFunction2DTest.java;org.jfree.data.function;PowerFunction2DTest;86;7;12,29;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\general\DefaultKeyedValues2DDatasetTest.java;org.jfree.data.general;DefaultKeyedValues2DDatasetTest;74;4;18,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\general\DefaultKeyedValuesDatasetTest.java;org.jfree.data.general;DefaultKeyedValuesDatasetTest;73;4;18,25;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\statistics\BoxAndWhiskerItemTest.java;org.jfree.data.statistics;BoxAndWhiskerItemTest;68;5;13,60;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\statistics\HistogramBinTest.java;org.jfree.data.statistics;HistogramBinTest;80;5;16,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\statistics\RegressionTest.java;org.jfree.data.statistics;RegressionTest;213;17;12,53;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\time\FixedMillisecondTest.java;org.jfree.data.time;FixedMillisecondTest;87;8;10,88;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\time\TimePeriodAnchorTest.java;org.jfree.data.time;TimePeriodAnchorTest;62;4;15,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\time\TimeSeriesDataItemTest.java;org.jfree.data.time;TimeSeriesDataItemTest;85;6;14,17;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\MatrixSeriesCollectionTest.java;org.jfree.data.xy;MatrixSeriesCollectionTest;102;10;10,20;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\OHLCDataItemTest.java;org.jfree.data.xy;OHLCDataItemTest;74;7;10,57;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\XYBarDatasetTest.java;org.jfree.data.xy;XYBarDatasetTest;117;9;13,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\YIntervalSeriesCollectionTest.java;org.jfree.data.xy;YIntervalSeriesCollectionTest;147;14;10,50;true
